GEOID,Population,PopDensity
420031405003,919,0.531674863
420031406001,1333,0.350276043
420034580002,3619,0.02065115
420031404003,911,0.214287394
420031408001,1849,0.303118233
420031414003,1252,0.424834494
420034883001,2046,0.032935531
420034520002,1934,0.029692574
420034927001,554,0.025065185
420034520001,476,0.001574754
420034141022,2503,0.049749889
420034513003,1445,0.033690955
420034803001,676,0.054416512
420034120012,2203,0.016900662
420034736013,1483,0.251731396
420034390001,1463,0.01052524
420035100002,728,0.307892711
420034296001,2262,0.086134547
420034150012,1615,0.021145364
420034962004,485,0.030224038
420034090001,4725,0.02387401
420034090002,2300,0.02653261
420034090004,2269,0.072279124
420034100001,1225,0.053156613
420034120013,1770,0.087100127
420034120014,2493,0.070631433
420034120022,2291,0.062375745
420034131001,1103,0.014125723
420034132011,874,0.063791802
420034132012,1072,0.088704052
420034132013,1753,0.145927191
420034272004,847,0.076506809
420034315001,673,0.396092049
420031303003,508,0.218271189
420031304001,231,0.140044984
420031304002,361,0.185864036
420031304003,353,0.304538749
420031306002,576,0.171397965
420031306003,1535,0.218605539
420031401001,883,0.202029909
420031408002,1792,0.482620803
420031408003,846,0.784968685
420031410001,953,0.18764312
420031413001,1354,0.345909379
420031413002,1535,0.518379684
420031413003,2237,1.103840992
420031516001,1221,0.481311248
420031516003,657,0.49761041
420034560033,3026,0.015274393
420031403001,859,0.558346929
420034742011,2535,0.07628736
420034742022,2573,0.054783017
420034802002,542,0.119872519
420033001002,947,0.792442094
420035080002,987,0.176492362
420034020004,728,0.17565321
420034090003,3824,0.0309684
420034272003,1617,0.156677393
420034220004,2095,0.022368142
